recipe,energie,koolhydraten,waarvan suikers,natrium,eiwit,vet,waarvan verzadigd,vezels
Arepas gevuld met pittig draadjesvlees en ui,905.0,81.0,0.0,975.0,44.0,43.0,16.0,10.0
Arnhemse meisjes van bakker Jurjus,75.0,11.0,0.0,0.0,1.0,3.0,2.0,0.0
Arrabbiata met paprika en wodka,575.0,65.0,0.0,0.0,22.0,20.0,0.0,0.0
Arretjescake,230.0,25.0,0.0,80.0,2.0,13.0,8.0,2.0
Artisjok met knoflookmayonaise,215.0,6.0,0.0,145.0,2.0,20.0,1.0,1.0
Artisjok-fetadip met rucolacress,125.0,1.0,0.0,220.0,5.0,11.0,5.0,1.0
Artisjokdip,95.0,4.0,0.0,353.0,2.0,7.0,2.0,2.0
Artisjoksalade,235.0,3.0,0.0,0.0,10.0,20.0,0.0,0.0
Asperge-erwtenfrittata met selderijolie,815.0,42.0,0.0,710.0,30.0,56.0,10.0,11.0
Asperge-krielsalade à la flamande,655.0,56.0,0.0,695.0,24.0,35.0,7.0,12.0
Asperge-zalmspiesen met wasabimayo,295.0,3.0,0.0,440.0,15.0,25.0,3.0,1.0
Aspergebroccoli met  sesam &amp; gepocheerde kip met sambal,190.0,4.0,0.0,570.0,22.0,9.0,2.0,3.0
Aspergebroccoli met gebakken uitjes,90.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0
Aspergebroccoli met spek en tijm,165.0,2.0,0.0,465.0,11.0,12.0,4.0,3.0
Aspergepizza,460.0,52.0,0.0,1280.0,24.0,16.0,10.0,4.0
Aspergequiche,690.0,29.0,0.0,659.0,22.0,53.0,29.0,3.0
Aspergequiche met ham en broccoli,570.0,39.0,0.0,1040.0,21.0,35.0,15.0,7.0
Aspergerisotto met pecorino,495.0,66.0,0.0,0.0,17.0,17.0,0.0,0.0
Aspergeroerbak met edamame en korianderdressing,420.0,53.0,0.0,2155.0,25.0,11.0,2.0,5.0
Aspergeroerbak met zalm,695.0,71.0,0.0,0.0,28.0,33.0,0.0,0.0
Asperges koken,55.0,9.0,0.0,3.0,3.0,0.0,0.0,5.0
