Unnamed: 0,title,persons,time,calories,stars,url,image
0,Spitskool uit de oven met feta,4,20,730,0,https://www.ah.nl/allerhande/recept/R-R1195269/spitskool-uit-de-oven-met-feta,https://static.ah.nl/static/recepten/img_RAM_PRD148058_1024x748_JPG.jpg
0,Andijviestamppot met radijs en mosterd-speklapjes,4,30,650,0,https://www.ah.nl/allerhande/recept/R-R1195254/andijviestamppot-met-radijs-en-mosterd-speklapjes,https://static.ah.nl/static/recepten/img_RAM_PRD148025_1024x748_JPG.jpg
0,Omelet met courgette-spaghetti en rauwkost,4,15,695,0,https://www.ah.nl/allerhande/recept/R-R1195250/omelet-met-courgette-spaghetti-en-rauwkost,https://static.ah.nl/static/recepten/img_RAM_PRD148048_1024x748_JPG.jpg
0,Pappardelle met ricotta en gepofte snoeptomaten,4,15,665,0,https://www.ah.nl/allerhande/recept/R-R1195249/pappardelle-met-ricotta-en-gepofte-snoeptomaten,https://static.ah.nl/static/recepten/img_RAM_PRD148049_1024x748_JPG.jpg
0,Pasta pesto van radijsgroen en gebakken radijsjes,4,20,650,0,https://www.ah.nl/allerhande/recept/R-R1195236/pasta-pesto-van-radijsgroen-en-gebakken-radijsjes,https://static.ah.nl/static/recepten/img_RAM_PRD148051_1024x748_JPG.jpg
0,Gegrilde zalm van de BBQ met dillesaus en krieltjes,4,10,790,0,https://www.ah.nl/allerhande/recept/R-R1195232/gegrilde-zalm-van-de-bbq-met-dillesaus-en-krieltjes,https://static.ah.nl/static/recepten/img_RAM_PRD148039_1024x748_JPG.jpg
0,Rijstroerbak met kip in satésaus,2,15,690,0,https://www.ah.nl/allerhande/recept/R-R1195224/rijstroerbak-met-kip-in-satesaus,https://static.ah.nl/static/recepten/img_RAM_PRD148054_1024x748_JPG.jpg
0,Koolhydraatarme ovenschotel met tonijn en champignons,4,25,585,0,https://www.ah.nl/allerhande/recept/R-R1195214/koolhydraatarme-ovenschotel-met-tonijn-en-champignons,https://static.ah.nl/static/recepten/img_RAM_PRD148254_1024x748_JPG.jpg
0,Salade van kikkererwten met quinoa,2,15,655,0,https://www.ah.nl/allerhande/recept/R-R1195210/salade-van-kikkererwten-met-quinoa,https://static.ah.nl/static/recepten/img_RAM_PRD148075_1024x748_JPG.jpg
0,Wraps met jalapeño-mayonaise,4,20,775,0,https://www.ah.nl/allerhande/recept/R-R1195209/wraps-met-jalapeno-mayonaise,https://static.ah.nl/static/recepten/img_RAM_PRD148077_1024x748_JPG.jpg
0,Kip tandoori,4,25,765,0,https://www.ah.nl/allerhande/recept/R-R1195177/kip-tandoori,https://static.ah.nl/static/recepten/img_RAM_PRD147745_1024x748_JPG.jpg
0,Vega poké bowl,4,45,810,0,https://www.ah.nl/allerhande/recept/R-R1195171/vega-poke-bowl,https://static.ah.nl/static/recepten/img_RAM_PRD147767_1024x748_JPG.jpg
0,Pad thai,2,20,670,0,https://www.ah.nl/allerhande/recept/R-R1195168/pad-thai,https://static.ah.nl/static/recepten/img_RAM_PRD147752_1024x748_JPG.jpg
0,Thaise gele curry met garnalen en peultjes,4,45,830,0,https://www.ah.nl/allerhande/recept/R-R1195166/thaise-gele-curry-met-garnalen-en-peultjes,https://static.ah.nl/static/recepten/img_RAM_PRD147762_1024x748_JPG.jpg
0,Libanese kefta,4,30,565,0,https://www.ah.nl/allerhande/recept/R-R1195156/libanese-kefta,https://static.ah.nl/static/recepten/img_RAM_PRD147746_1024x748_JPG.jpg
